Data;CMIG4,SA;ABEV3,SA;PETR4,SA;USIM5,SA;BBAS3,SA;VALE3,SA;ITUB4,SA;CSMG3,SA;SBSP3,SA;LREN3,SA;CSNA3;BRFS3,SA;OIBR3,SA;B3SA3,SA;BRKM5,SA;RADL3,SA;VLID3,SA;JBSS3,SA;GGBR4,SA;EMBR3,SA;WEGE3,SA;ELET3,SA
01/11/2010;0;0,02986194;-0,048742747;-0,119170937;-0,006042176;-0,000746213;-0,054215815;0,049808613;-0,004199203;0;-0,075752177;0,033225284;-0,009873172;0;0,043004585;-0,024401552;0,023376558;0,001529052;-0,113636364;0,023121387;0,027309231;-0,038889383
01/12/2010;0;0,090451863;0,109800773;0,024598876;-0,04498486;0,033047068;0,013758743;0,047445422;0,121090079;0;0,021447682;0,072156863;0,047869243;0;0,119846063;-0,035256032;0,027915976;0,094656489;0,162564103;-0,047619048;-0,03411601;-0,011114577
01/01/2011;0;-0,125114904;-0,007328728;0,014091858;-0,052832591;0,03162841;-0,105557321;-0,047038935;-0,042030895;0;0,03862021;0,000365764;-0,037356165;0;0,029454981;-0,111111111;0,028149742;-0,121338912;-0,058226731;0,145762712;-0,088990186;0,00748703
01/02/2011;0;-0,013695885;0,055001846;-0,022130726;-0,000336022;-0,013665084;0,039622042;0,060329265;-0,000735294;0;-0,037906172;0,056672761;0,008403305;0;-0,032904055;0,058333333;-0,058593795;-0,00952381;0,029976581;0,036242604;0,009566455;0,04910792
01/03/2011;0;0,036048439;-0,007347761;0,077368368;-0,006722723;-0,052397887;0,051348196;-0,056206892;0,117240618;0;0,001125704;0,066782007;-0,068626427;0;0,067061042;0,004724409;0,00408065;-0,056089744;-0,077762574;-0,03640257;0,044887432;0,049784855
01/04/2011;0;0,087113129;-0,097638382;-0,211040509;-0,018950897;-0,029240807;-0,046271569;0,048593818;0,000441274;0;-0,083208433;0,02270519;0,091315354;0;0,058225557;-0,114420063;0,092477482;-0,088285229;-0,068047383;-0,084444444;-0,059665517;-0,071746062
01/05/2011;-0,048739496;-0,02471121;-0,058984375;-0,061919505;-0,032425009;-0,029735489;-0,03396041;0,101046207;0,059690652;0;-0,098936962;-0,071360607;0,089704158;-0,048739496;0,078602664;-0,008849558;0,023254561;0,054003724;-0,084127037;0,012135922;-0,086294695;-0,021833622
01/06/2011;-0,08745583;0,045719862;-0,015359112;-0,095709571;-0,001782496;-0,015124338;0,017016453;-0,009496145;-0,037486004;0;-0,129310339;-0,094945386;0,004646936;-0,08745583;-0,097570846;-0,049107143;0,04800399;-0,049469965;-0,058347779;-0,048760991;-0,011110819;-0,067409553
01/07/2011;-0,124878993;-0,120930178;-0,009274832;-0,197080292;-0,060714321;0,012931885;-0,135800014;0,044730458;-0,006021958;0;-0,134966173;0,10566034;0,070485003;-0,124878993;-0,178555488;0,145539906;-0,10305648;-0,148698885;-0,150306696;-0,059663866;-0,050561403;-0,111540463
01/08/2011;0,032079646;0,203704415;-0,11489366;0,090909091;0,015969582;-0,106323597;-0,084129872;-0,042815309;-0,004331169;0;-0,048192771;0,062798637;0,032099077;0,032079646;0,032222885;0,024590164;-0,015955918;-0,06768559;-0,018050542;-0,0974084;0,018344;-0,12176533
01/09/2011;-0,057877814;0,010768982;-0,081730725;-0,123333333;-0,070359247;-0,047991006;0,006934823;-0,049519179;-0,049995761;0;-0,065822785;0,033397593;-0,007177415;-0,057877814;-0,228571429;-0,1;0,035134618;-0,149882904;-0,018382353;0,163366337;0,086575853;-0,006137304
01/10/2011;0,19112628;0,008045354;0,129842932;0,121673004;0,042673108;0,024853387;0,126673571;0,040331302;0,048281354;0;0,111111111;0,110938471;-0,012048163;0,19112628;0,049382716;-0,04;0,056918508;0,512396694;0,176029963;0,008510638;0,031016495;0,061115983
01/11/2011;-0,05635148;0,069887616;0,021779379;-0,122033898;-0,065637027;-0,047128736;-0,0253568;0,042654869;0,09124427;0;-0,100609756;-0,012587441;-0,008131474;-0,05635148;-0,085620915;0,166666667;0,029641304;0,083788707;-0,140127389;-0,04556962;-0,071576083;-0,036069485
01/12/2011;-0,008097166;0,100801562;-0,025396781;-0,02027027;-0,020661156;-0,05282115;0,06551971;0,035012947;0,040808243;0;0,01559322;0,031728018;0,063524852;-0,008097166;-0,085060758;0,029365079;0,046069178;0,021848739;0,074074074;0,039787798;0,049161043;0,076643504
01/01/2012;0,121428571;-0,047615557;0,143322476;0,154679803;0,147257378;0,133079845;0,033242662;0,158386823;0,121280206;0;0,218291055;-0,049972545;-0,062619087;0,121428571;0,221875;0,117964534;-0,013300855;0,050986842;0,148275862;0,025510204;0,037273609;0,006168214
01/02/2012;0,045495905;0,117696867;-0,010582051;-0,005972696;0,016917947;-0,025727114;0,047837552;0,126909435;0,111587062;0;-0,040547945;0,037572372;0,056525024;0,045495905;-0,003836317;0,153103448;0,185490933;0,142410016;0,078078138;0,061359867;-0,019506152;0,040667219
01/03/2012;-0,02175805;0,083445248;-0,039489882;0,030901288;-0,061482785;-0,014925305;-0,050815741;-0,023627169;0,074169511;0;-0,016562022;0,002785459;0,099026731;-0,02175805;-0,072528883;0,061602871;0,076861975;0,02739726;-0,02729816;0,14375;0,036649094;-0,082440332
01/04/2012;-0,046263345;0,071138551;-0,088222655;-0,090757702;-0,091329515;-0,0069931;-0,14113712;0,044629745;0,074362622;0;-0,050522593;-0,0319445;-0,036997396;-0,046263345;-0,07266436;0,157183099;0,083761957;0;0,026345992;0,122950888;0,017171419;-0,049009195
01/05/2012;-0,109141791;-0,071502752;-0,101456172;-0,221611722;-0,151823579;-0,117605592;-0,023337701;-0,033053771;-0,051177072;0;-0,205504587;-0,099282617;-0,117646104;-0,109141791;-0,160447761;-0,092015579;-0,070901067;-0,273333333;-0,114955357;-0,127129007;0,032771231;-0,185886656
01/06/2012;0,073298429;0,009107832;-0,046000996;-0,256470588;-0,02349995;0,067571189;-0,034471386;0,011630958;0,084355725;-0,050707481;-0,123941493;-0,03185728;0,041250083;0,073298429;0,189333333;0,085790885;0,084988264;0,106422018;0,116015195;-0,068989547;-0,062981711;0,073848473
01/07/2012;0,12195122;0,018051256;0,068493151;0,167721519;0,11623133;-0,074258633;0,147761148;0,164137041;0,136102421;0,087314326;-0,074692443;-0,034550807;-0,039015997;0,12195122;-0,073991031;0,155555556;0,066667439;-0,111111111;0,051977398;-0,016467066;-0,050282071;-0,007020204
01/08/2012;-0,070434783;-0,008243446;0,064615385;0,104336043;0,063302801;-0,0907134;-0,023713223;-0,042853013;-0,015775;0,092216089;-0,056030389;0,111451977;-0,091609725;-0,070434783;0,033091203;-0,076923077;0,093750932;0,089552239;-0,036519869;0,065449011;0,085898768;-0,079853796
01/09/2012;0,145930776;-0,00015683;0,077553035;0,241717791;0,069887791;0,080225076;-0,035650945;-0,048898956;-0,036121985;0,014636748;0,14889336;0,073596962;0,015126462;0,145930776;0,11484375;0,078240741;0,084285129;0,150684932;0,074693418;-0,027857143;0,175124522;-0,070664075
01/10/2012;0,06122449;0,071203934;-0,070183367;-0,030632411;-0,126209642;0,026308549;-0,029109614;0,039915855;0,036029686;0,107519313;-0,016637478;0,055412828;0,016032472;0,06122449;-0,059565522;-0,04036067;0,007376841;-0,022321429;-0,079356894;0,043350478;-0,012276479;-0,078509185
01/11/2012;-0,012307692;0,137627575;-0,102884572;0,27420999;0,011075219;0,00400526;0,082207391;-0,061328736;0,006046755;0,039228306;-0,065894924;0,050067604;0,031109431;-0,012307692;0,026825633;-0,060402685;0,02014119;-0,176560122;-0,001690197;-0,076760563;0,168023447;-0,313903892
